Description,,Security,Ticker,Position (Shares),Pos Change,% Outstanding,% NAV,Market Value,Market Value Change,Filing Date,Country/Region,Sector,Subsector,Asset Type,Security Type,Security Subtype,Maturity,Duration,Coupon
"Veralto Corporation provides water supply services. The company offers water treatment solutions that sources water to the consumers and back into the water cycle. It also provides printers, instruments, software, services, and consumables for color and appearance management, packaging design and quality management, packaging converting, printing, marking and coding, and traceability applications to food and beverage, consumer packaged goods, pharmaceutical, and industrial products. Veralto Corporation was formerly known as DH EAS Holding Corp. and changed its name to Veralto Corporation on February 22, 2023. The company was incorporated in 2022 and is based in Waltham, Massachusetts. Veralto Corporation operates as a subsidiary of Danaher Corporation.",,Veralto Corp,VLTO US,"231,732",30,0.09,0.05,16.29MLN,"2,108.40",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--
"Burlington Stores, Inc. operates as a retailer of branded apparel products in the United States. The company provides fashion-focused merchandise, including women's ready-to-wear apparel, menswear, youth apparel, footwear, accessories, toys, gifts, and coats, as well as baby, home, and beauty products. It operates stores under the Burlington Stores, and Cohoes Fashions brand names in Puerto Rico. Burlington Stores, Inc. was founded in 1972 and is headquartered in Burlington, New Jersey.",,Burlington Stores Inc,BURL US,"102,328","9,188",0.16,0.04,12.92MLN,1160000,11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--
"Established in 1975, Sun Communities, Inc. became a publicly owned corporation in December 1993. The Company is a fully integrated REIT listed on the New York Stock Exchange under the symbol: SUI. As of September 30, 2023, the Company owned, operated, or had an interest in a portfolio of 670 developed MH, RV and Marina properties comprising approximately 180,170 developed sites and approximately 48,030 wet slips and dry storage spaces in the U.S., the UK and Canada.",,Sun Communities Inc,SUI US,"68,957",9,0.06,0.03,8.03MLN,"1,048.14",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--
"W.W. Grainger, Inc. distributes maintenance, repair, and operating products and services in the United States, Japan, Canada, the United Kingdom, and internationally. The company operates through two segments, High-Touch Solutions N.A. and Endless Assortment. The company provides safety and security supplies, material handling and storage equipment, pumps and plumbing equipment, cleaning and maintenance supplies, and metalworking and hand tools. It also offers technical support and inventory management services. The company serves businesses, corporations, government entities, and other institutions through sales and service representatives, and electronic and ecommerce channels. W.W. Grainger, Inc. was founded in 1927 and is headquartered in Lake Forest, Illinois.",,WW Grainger Inc,GWW US,"6,592","2,637",0.01,0.02,4.99MLN,1990000,11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--
USD,,Spot,USD Curncy,"2,222,948",2230000,0,0.01,2.22MLN,2230000,11/2/2023,United States,Sector Not Available,Sector Not Available,Currency,Currency,Currency,--,--,--
"Raymond James Financial, Inc., a diversified financial services company, provides private client group, capital markets, asset management, banking, and other services to individuals, corporations, and municipalities in the United States, Canada, and Europe. The Private Client Group segment offers investment services, portfolio management services, insurance and annuity products, and mutual funds; support to third-party product partners, including sales and marketing support, as well as distribution and accounting, and administrative services; margin loans; securities borrowing and lending services; and custodial, trade execution, research, and other support and services. The Capital Markets segment provides investment banking services, including equity underwriting, debt underwriting, and merger and acquisition advisory services; and fixed income and equity brokerage services. The Asset Management segment offers asset management, portfolio management, and related administrative services to retail and institutional clients; and administrative support services, such as record-keeping. The Raymond James Bank segment provides insured deposit accounts; commercial and industrial, commercial real estate (CRE) and CRE construction, tax-exempt, residential mortgage, securities-based, and other loans; loan syndication services; and liquidity management products and services. The Other segment engages in the private equity investments, including invests in third-party funds. The company was founded in 1962 and is headquartered in St. Petersburg, Florida.",,Raymond James Financial Inc,RJF US,"3,639","-47,963",0,0,"361,753",-4770000,11/2/2023,United States,Financials,Financial Services,Equity,Common Stock,Common Stock,--,--,--
 SPX Market-Linked Notes,,SPX_25,--,"62,197",0,0,0.93,0,0,11/2/2023,Country Not Available,Sector Not Available,Sector Not Available,--,Options,Options,--,--,--
 SPX Market-Linked Notes,,SPX_2,--,"65,599",0,0,0.95,0,0,11/2/2023,Country Not Available,Sector Not Available,Sector Not Available,--,Options,Options,--,--,--
 SPX Market-Linked Notes,,SPX_26,--,"63,041",0,0,0.94,0,0,11/2/2023,Country Not Available,Sector Not Available,Sector Not Available,--,Options,Options,--,--,--
 SPX Market-Linked Notes,,SPX_1,--,"66,288",0,0,0.9,0,0,11/2/2023,Country Not Available,Sector Not Available,Sector Not Available,--,Options,Options,--,--,--
USD,,U.S. DOLLAR FOR FUTURES,--,52,0,0,0,0,0,11/2/2023,Country Not Available,Sector Not Available,Sector Not Available,--,Currency,Currency,--,--,--
 SPX Market-Linked Notes,,SPX_22,--,"61,493",0,0,0.91,0,0,11/2/2023,Country Not Available,Sector Not Available,Sector Not Available,--,Options,Options,--,--,--
 SPX Market-Linked Notes,,SPX_18,--,"62,097",0,0,0.91,0,0,11/2/2023,Country Not Available,Sector Not Available,Sector Not Available,--,Options,Options,--,--,--
 SPX Market-Linked Notes,,SPX_29,--,"64,488",0,0,0.89,0,0,11/2/2023,Country Not Available,Sector Not Available,Sector Not Available,--,Options,Options,--,--,--
