North,Name,Primary Exchange,Ticker,Parent Comp. Name,Fund Objective,Fund Geographical Focus,Fund Asset Class Focus,General Attribute,Tot Asset US$ (M),Expense Ratio,Avg Dvd Yield,Alpha 1Y-M,Alpha 3Y,Tot Ret 1Y,Tot Ret 3Y,Sharpe 1Y-M,Sharpe 3Y,Beta 1Y-M,Beta 3Y
No,VANGUARD US TOTAL MARKET IND,Toronto,VUS CN Equity,Vanguard ETFs/Canada,US,United States,Equity,N.A.,557.995,0.16,1.592,-0.271,-0.239,15.84,26.106,0.194,0.377,1.189,1.199
No,BMO HIGH YIELD US CORPORATE,Toronto,ZJK/U CN Equity,BMO ETFs/Canada,Corporate,United States,Fixed Income,N.A.,721.921,0.59,,0.135,,9.04,,-0.072,,0.491,
No,CIBC CANADIAN EQUITY INDEX,Toronto,CCEI CN Equity,CIBC Asset Management Inc,Broad Market,Canada,Equity,N.A.,119.387,,3.359,0.04,,7.143,,-0.268,,0.973,
No,TD GLOBAL TECHNOLOGY LEADERS,Toronto,TEC CN Equity,TD Asset Management ETFs/Canada,Technology,Global,Equity,N.A.,1309.417,0.39,0.678,0.059,-0.018,42.151,33.611,1.334,0.433,0.954,0.986
Yes,CI MUNRO ALT GLOBAL GROWTH-U,Toronto,CMAG/U CN Equity,CI Investments Inc/Canada,N.A.,Global,Alternative,N.A.,126.007,,0.45,,,4.963,,0.125,,,
No,BMO AGGREGATE BOND INDEX ETF,Toronto,ZAG CN Equity,BMO ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,4291.026,0.09,,-0.021,-0.006,3.087,-11.825,-0.79,-1.13,0.985,1.007
No,ROYAL CANADIAN MINT GOLD,Toronto,MNT/U CN Equity,Royal Canadian Mint ETCs/Canada,Precious Metals,Canada,Commodity,N.A.,376.926,0.35,,,,17.176,-10.472,1.082,-0.23,,
No,ROYAL CANADIAN MINT GOLD,Toronto,MNT CN Equity,Royal Canadian Mint ETCs/Canada,Precious Metals,Canada,Commodity,N.A.,376.926,0.35,,,,20.184,-7.075,1.012,-0.161,,
Yes,RBC SHORT TERM US CORP BOND,Toronto,RUSB/U CN Equity,RBC Global Asset Management ETFs/Canada,Corporate,United States,Fixed Income,N.A.,165.451,0.41,,,,6.061,-2.569,0.01,-1.085,,
Yes,BMO ULTRA SHORT TERM BOND-L,Toronto,ZST/L CN Equity,BMO ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,999.11,0.16,,,,5.114,6.015,-1.209,-0.918,,
No,VANGUARD US TOTAL MARKET IND,Toronto,VUN CN Equity,Vanguard ETFs/Canada,US,United States,Equity,N.A.,4687.46,0.16,1.592,-0.014,-0.017,16.31,34.633,0.482,0.61,0.999,1.002
No,VANGUARD FTSE DEVELOPED ALL,Toronto,VDU CN Equity,Vanguard ETFs/Canada,International,International,Equity,N.A.,266.39,0.22,3.357,-0.057,-0.027,18.635,20.495,0.691,0.332,1.083,0.999
No,FIDELITY INTERNATIONAL H Q U,Toronto,FCIQ/U CN Equity,Fidelity ETFs/Canada,International,International,Equity,N.A.,287.606,0.5,3.353,-0.05,,17.01,,0.468,,0.991,
No,FIDELITY US HIGH QUAL IND,Toronto,FCUQ/U CN Equity,Fidelity ETFs/Canada,US,United States,Equity,N.A.,210.895,0.39,1.723,0.107,,12.512,,0.441,,0.876,
No,FIDELITY US HIGH DVD IND USD,Toronto,FCUD/U CN Equity,Fidelity ETFs/Canada,US,United States,Equity,N.A.,114.061,0.39,4.064,-0.008,,4.852,,-0.323,,0.699,
No,BMO SHORT CORPORATE BOND-L,Toronto,ZCS/L CN Equity,BMO ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,968.172,0.11,,-0.017,-0.002,5.154,-0.67,-0.422,-1.045,1.067,1.08
No,BMO SHORT FED BOND INDEX-L,Toronto,ZFS/L CN Equity,BMO ETFs/Canada,Government,Canada,Fixed Income,N.A.,698.683,0.22,,-0.009,-0.018,1.582,-4.151,-1.507,-1.657,0.949,0.986
No,BMO SHORT PROVINCIAL BOND-L,Toronto,ZPS/L CN Equity,BMO ETFs/Canada,Government,Canada,Fixed Income,N.A.,239.359,0.28,,-0.094,-0.067,2.633,-3.529,-1.308,-1.538,0.917,0.902
Yes,FIDELITY GL INV GR BD USD,Toronto,FCIG/U CN Equity,Fidelity ETFs/Canada,Aggregate Bond,Global,Fixed Income,N.A.,104.949,0.57,1.131,-0.111,,2.676,,-0.613,,1.121,
Yes,FIDELITY GLOBAL CORE PL B US,Toronto,FCGB/U CN Equity,Fidelity ETFs/Canada,Aggregate Bond,Global,Fixed Income,N.A.,615.724,0.56,0.387,,,3.004,,-0.468,,,
No,FIDELITY US VALUE INDEX USD,Toronto,FCUV/U CN Equity,Fidelity ETFs/Canada,US,United States,Equity,N.A.,151.982,0.4,2.198,0.069,,13.639,,0.171,,0.776,
No,VANGUARD US DIVIDEND APPRECI,Toronto,VGH CN Equity,Vanguard ETFs/Canada,US,United States,Equity,N.A.,410.14,0.3,2.005,-0.047,-0.028,10.039,23.006,-0.047,0.386,1.004,0.975
No,ISHARES S&P/TSX COMPOSITE HI,Toronto,XEI CN Equity,iShares ETFs/Canada,Broad Market,Canada,Equity,N.A.,1053.475,0.22,5.709,-0.009,-0.018,1.769,57.318,-0.622,0.873,0.998,0.995
No,ISHARES MSCI WORLD INDEX ETF,Toronto,XWD CN Equity,iShares ETFs/Canada,Global,Global,Equity,N.A.,607.372,0.47,2.207,-0.1,-0.028,18.198,33.053,0.656,0.605,1.053,1.009
No,VANGUARD US DIVIDEND APPRECI,Toronto,VGG CN Equity,Vanguard ETFs/Canada,US,United States,Equity,N.A.,833.093,0.3,2.005,-0.004,0.002,10.432,31.165,0.184,0.648,1.011,1.003
No,PURPOSE BITCOIN ETF,Toronto,BTCC/J CN Equity,Purpose Investments Inc ETFs/Canada,N.A.,Global,Alternative,N.A.,598.853,,,,,68.347,,1.519,,,
No,ISHARES GLOBAL AGRICULTURE I,Toronto,COW CN Equity,iShares ETFs/Canada,Thematic,Global,Equity,N.A.,227.984,0.72,2.45,-0.095,-0.045,-15.166,53.137,-1.34,0.671,0.991,1.003
No,VANGUARD FTSE CANADA ALL CAP,Toronto,VCN CN Equity,Vanguard ETFs/Canada,Broad Market,Canada,Equity,N.A.,4104.678,0.06,3.407,-0.006,-0.006,7.001,37.639,-0.228,0.627,0.998,1.003
No,ISHARES MSCI EAFE INDEX ETF,Toronto,XIN CN Equity,iShares ETFs/Canada,International,International,Equity,N.A.,912.261,0.49,3.519,-0.082,-0.052,16.542,39.412,0.684,0.76,1.096,1.017
No,HORIZONS HIGH INT SAVINGS,Toronto,CASH CN Equity,Horizons ETFs Management Canada Inc,N.A.,Canada,Fixed Income,N.A.,2878.898,0,,,,5.069,,-0.561,,,
No,BMO EQUAL WEIGHT US BANK IND,Toronto,ZBK CN Equity,BMO ETFs/Canada,Financial,United States,Equity,N.A.,428.614,0.38,4.594,-0.032,-0.021,-23.201,8.452,-0.845,0.119,0.986,0.995
No,VANGUARD CANADIAN CORPORATE,Toronto,VCB CN Equity,Vanguard ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,195.389,0.26,,-0.008,-0.005,5.091,-5.9,-0.36,-0.943,1.01,1.031
Yes,HEALTHCARE LEADERS ETF-USD,Toronto,HHL/U CN Equity,Harvest Portfolios Group Inc/Canada,Health Care,North American Region,Equity,N.A.,981.774,0.99,1.855,0.104,0.4,3.881,33.614,-0.437,0.703,0.934,0.937
No,ISHARES CORE MSCI GLOBAL QUA,Toronto,XDG/U CN Equity,iShares ETFs/Canada,Global,Global,Equity,N.A.,216.999,0.22,3.983,0.091,-0.009,8.137,30.277,0.095,0.451,0.815,0.951
Yes,HORIZONS ALL-EQUITY ASSET AL,Toronto,HEQT CN Equity,Horizons ETFs Management Canada Inc,Global,Global,Equity,N.A.,152.578,0.16,0.621,-0.239,-0.241,18.792,27.599,0.551,0.451,1.127,1.191
No,BMO MSCI EAFE INDEX ETF,Toronto,ZEA CN Equity,BMO ETFs/Canada,International,International,Equity,N.A.,4707.182,0.22,3.483,-0.004,0.003,20.86,22.985,0.862,0.398,1.019,0.987
No,BMO MSCI EUROPE HIGH QUALITY,Toronto,ZEQ CN Equity,BMO ETFs/Canada,European Region,European Region,Equity,N.A.,498.667,0.45,2.988,-0.077,-0.033,12.397,28.053,0.301,0.495,1.084,1.023
No,BMO EQUAL WEIGHT UTIL IDX ET,Toronto,ZUT CN Equity,BMO ETFs/Canada,Utilities,Canada,Equity,N.A.,265.851,0.61,4.831,-0.046,-0.046,-11.881,-6.351,-1.75,-0.376,0.999,1.002
Yes,FIDELITY GLOBAL CORE PLUS BO,Toronto,FCGB CN Equity,Fidelity ETFs/Canada,Aggregate Bond,Global,Fixed Income,N.A.,615.724,0.56,0.387,,,3.01,-7.238,-0.548,-0.889,,
No,CIBC US EQUITY INDEX ETF,Toronto,CUEI CN Equity,CIBC Asset Management Inc,US,United States,Equity,N.A.,275.387,,1.578,0.084,,18.3,,0.668,,0.919,
Yes,TD ACTIVE GLOBAL ENH DVD ETF,Toronto,TGED CN Equity,TD Asset Management ETFs/Canada,Global,Global,Equity,N.A.,226.442,0.71,1.377,0.285,-0.051,21.104,32.193,0.992,0.563,0.855,1.002
Yes,PURPOSE CORE DIVIDEND FUND,Toronto,PDF CN Equity,Purpose Investments Inc ETFs/Canada,North American Region,North American Region,Equity,N.A.,112.439,0.55,4.789,,,-0.012,30.928,-0.803,0.566,,
No,BMO DISCOUNT BOND INDEX ETF,Toronto,ZDB CN Equity,BMO ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,608.967,0.1,,-0.014,-0.022,3.121,-11.875,-0.77,-1.102,1.024,1.043
Yes,BMO US HIGH DIVIDEND COVERED,Toronto,ZWH CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,802.242,0.72,3.108,,,5.047,36.541,-0.21,0.782,,
No,DESJARDINS CAD UNIVERSE BOND,Toronto,DCU CN Equity,Desjardins ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,217.13,0.08,,-0.053,-0.03,2.716,-12.192,-0.967,-1.196,0.886,0.967
No,BMO MID CORPORATE BOND INDEX,Toronto,ZCM CN Equity,BMO ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,321.883,0.34,,-0.052,-0.019,4.921,-7.91,-0.486,-0.859,1.007,1.053
No,ISHARES MSCI MIN VOL CANADA,Toronto,XMV CN Equity,iShares ETFs/Canada,Broad Market,Canada,Equity,N.A.,123.73,0.33,3.468,-0.021,-0.02,9.922,40.374,-0.025,0.82,0.968,0.995
No,ISHARES MSCI MIN VOL GLOBAL,Toronto,XMW CN Equity,iShares ETFs/Canada,Global,Global,Equity,N.A.,121.061,0.48,2.524,-0.033,-0.022,7.215,13.691,-0.005,0.271,0.959,0.958
No,FIDELITY SYSTEMATIC CANADIAN,Toronto,FCCB CN Equity,Fidelity ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,219.503,0.28,,-0.021,-0.016,3.604,-11.672,-0.725,-1.17,1.072,1.011
Yes,MANULIFE SHORT TERM BOND ETF,Toronto,TERM CN Equity,Manulife ETFs/Canada/Fund Parent,Corporate,Canada,Fixed Income,N.A.,190.42,0.2,,0.128,,5.261,,-0.456,,0.953,
No,ISHARES MSCI MIN VOL EAFE IN,Toronto,XMI CN Equity,iShares ETFs/Canada,International,International,Equity,N.A.,101.909,0.37,3.484,-0.02,-0.011,16.334,7.257,0.802,0.047,1.049,0.99
No,ISHARES MSCI MIN VOL USA IN,Toronto,XMU CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,261.971,0.33,2.073,0.019,0.009,7.342,24.499,-0.135,0.537,0.858,0.973
No,ISHARES S&P/TSX CANADIAN DIV,Toronto,CDZ CN Equity,iShares ETFs/Canada,Broad Market,Canada,Equity,N.A.,616.632,0.66,4.81,-0.045,-0.053,4.903,34.237,-0.562,0.573,0.983,0.995
Yes,PICTON MAHONEY FORTIFIED INC,Toronto,PFIA CN Equity,Picton Mahoney Asset Management/Canada,N.A.,Canada,Alternative,N.A.,225.543,0.95,6.879,,,5.518,6.152,-0.172,-0.154,,
Yes,HARVEST TECH ACHIEVERS GROWT,Toronto,HTA/U CN Equity,Harvest Portfolios Group Inc/Canada,Technology,North American Region,Equity,N.A.,515.788,1.3,0.831,0.199,0.129,46.219,56.178,1.381,0.726,0.928,0.902
No,ISHARES COR MSCI CAN QLT DIV,Toronto,XDIV CN Equity,iShares ETFs/Canada,Large-cap,Canada,Equity,N.A.,613.714,0.55,5.233,-0.009,-0.009,11.123,54.219,0.094,1.009,0.996,0.994
No,iShares Core MSCI US QLT DIV,Toronto,XDU CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,130.165,0.16,3.258,-0.047,-0.035,2.996,27.651,-0.461,0.604,0.937,0.993
Yes,IA CLARINGTON LOOMIS GL MS B,Toronto,ILGB CN Equity,Industrial Alliance Funds/Canada,Aggregate Bond,Global,Fixed Income,N.A.,235.142,0.84,,0.047,,2.467,,-0.627,,0.911,
No,ISHARES US HIGH DIVIDEND EQU,Toronto,XHD CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,136.373,0.33,4.242,-0.312,-0.099,-0.922,30.161,-0.826,0.507,1.003,1.007
Yes,CI ALTERNATIVE DIVERSIFIED O,Toronto,CMDO/U CN Equity,CI Investments Inc/Canada,Not Classified,Global,Alternative,N.A.,750.139,1.07,1.846,,,3.559,,-0.722,,,
Yes,CI TECH GIANTS COV CALL,Toronto,TXF CN Equity,CI Investments Inc/Canada,Technology,North American Region,Equity,N.A.,457.963,0.69,1.151,,,49.695,29.948,1.515,0.368,,
No,ISHARES CORE MSCI ALL COUNTR,Toronto,XAW/U CN Equity,iShares ETFs/Canada,International,International,Equity,N.A.,1468.106,0.22,2.208,-0.008,-0.077,17.152,19.688,0.341,0.241,0.913,0.866
No,ISHARES GLOBAL REAL ESTATE I,Toronto,CGR CN Equity,iShares ETFs/Canada,Real Estate,Global,Equity,N.A.,134.38,0.72,4.147,-0.087,-0.076,1.799,3.743,-0.595,-0.038,0.992,1.027
No,CI GALAXY ETHEREUM ETF USD,Toronto,ETHX/U CN Equity,CI Investments Inc/Canada,Not Classified,Global,Alternative,N.A.,214.268,,,-0.07,,17.118,,0.447,,0.997,
Yes,HARVEST BRAND LEADERS PLUS I,Toronto,HBF CN Equity,Harvest Portfolios Group Inc/Canada,North American Region,North American Region,Equity,N.A.,459.746,0.96,2.482,-0.965,-0.27,6.882,23.575,-0.283,0.386,0.776,0.919
Yes,MANULIFE SMART DIVIDEND ETF,Toronto,CDIV CN Equity,Manulife ETFs/Canada/Fund Parent,Broad Market,Canada,Equity,N.A.,291.204,0.25,4.691,0.039,,6.775,,-0.28,,0.837,
No,CI GALAXY ETHEREUM ETF,Toronto,ETHX/B CN Equity,CI Investments Inc/Canada,Not Classified,Global,Alternative,N.A.,214.268,,,-0.057,,16.645,,0.508,,1.029,
No,ISHARES S&P/TSX CAPPED UTIL,Toronto,XUT CN Equity,iShares ETFs/Canada,Utilities,Canada,Equity,N.A.,143.388,0.48,4.909,-0.065,-0.046,-8.272,-2.051,-1.694,-0.316,0.99,0.998
Yes,CI ALTERNATIVE DIVERSIFIED,Toronto,CMDO CN Equity,CI Investments Inc/Canada,Not Classified,Global,Alternative,N.A.,750.139,1.07,1.846,,,3.959,,-0.692,,,
No,PURPOSE HIGH INTEREST SAVING,Toronto,PSA CN Equity,Purpose Investments Inc ETFs/Canada,Not Classified,Canada,Money Market,N.A.,2934.93,0.15,,,,5.046,7.467,-1.062,-0.249,,
No,ISHARES CORE MSCI US QUALITY,Toronto,XDU/U CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,130.165,0.15,3.258,-0.068,0.063,0.471,24.44,-0.447,0.456,0.909,0.89
No,RBC TARGET 2024 CORPORATE BO,Toronto,RQL CN Equity,RBC Global Asset Management ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,296.201,0.28,,,,5.001,0.299,-0.73,-1.235,,
No,CI WISDOMTREE JAPAN EQ INDEX,Toronto,JAPN/B CN Equity,CI Investments Inc/Canada,Japan,Japan,Equity,N.A.,587.258,0.48,3.144,0.587,0.009,37.404,36.095,2.817,0.666,0.753,0.916
No,CIBC GLOBAL BOND EX-CANADA I,Toronto,CGBI CN Equity,CIBC Asset Management Inc,Aggregate Bond,International,Fixed Income,N.A.,223.117,,,-0.107,,1.305,,-1.026,,0.957,
No,ISHARES S&P US MID-CAP INDEX,Toronto,XMC/U CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,113.806,0.16,1.878,0.058,0.161,-0.408,25.169,-0.168,0.389,0.765,0.666
No,HAMILTON ENHANCED MULTI-SECT,Toronto,HDIV CN Equity,Hamilton Capital Partners ETFs/Canada,Broad Market,Canada,Equity,N.A.,262.891,2.39,,0.238,,10.606,,-0.089,,1.078,
No,ISHARES CORE CONSERVATIVE,Toronto,XCNS CN Equity,iShares ETFs/Canada,Moderate Allocation,Global,Mixed Allocation,N.A.,132.073,0.2,1.063,,,7.469,3.942,-0.122,-0.184,,
No,ISHARES EDGE MSCI MIN VOL US,Toronto,XMU/U CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,261.971,0.32,2.073,0.187,0.046,5.249,20.554,-0.046,0.367,0.772,0.841
No,ISHARES CORE MSCI EMERGING,Toronto,XEC/U CN Equity,iShares ETFs/Canada,Emerging Markets,International,Equity,N.A.,961.834,0.27,2.226,-0.272,-0.365,13.493,-6.804,0.357,-0.264,1.372,1.207
No,ISHARES MSCI EUROPE IMI INDE,Toronto,XEU CN Equity,iShares ETFs/Canada,European Region,European Region,Equity,N.A.,208.86,0.25,3.569,0.027,0.011,21.565,27.294,0.845,0.457,1.021,0.984
No,VANGUARD CANADIAN AGGREGATE,Toronto,VAB CN Equity,Vanguard ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,3126.517,0.09,,0.009,0.01,2.88,-12.166,-0.709,-1.108,1.046,1.032
No,VANGUARD CANADIAN SHORT-TERM,Toronto,VSC CN Equity,Vanguard ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,703.603,0.11,,-0.01,-0.007,5.036,-0.928,-0.464,-1.119,1.015,1.025
No,VANGUARD S&P 500 INDEX ETF C,Toronto,VSP CN Equity,Vanguard ETFs/Canada,US,United States,Equity,N.A.,1803.814,0.09,1.612,-0.005,-0.007,17.536,30.607,0.312,0.457,0.979,0.998
No,VANGUARD FTSE CANADIAN HIGH,Toronto,VDY CN Equity,Vanguard ETFs/Canada,Broad Market,Canada,Equity,N.A.,1573.816,0.22,5.43,-0.017,-0.022,0.451,57.873,-0.579,0.892,1,1
No,VANGUARD FTSE CANADIAN CAPPE,Toronto,VRE CN Equity,Vanguard ETFs/Canada,Real Estate,Canada,Equity,N.A.,194.515,0.39,4.492,-0.027,-0.028,4.877,16.069,-0.451,0.127,0.992,0.991
No,VANGUARD S&P 500 INDEX ETF,Toronto,VFV CN Equity,Vanguard ETFs/Canada,US,United States,Equity,N.A.,6765.211,0.09,1.612,-0.012,-0.005,18.12,39.551,0.661,0.726,1,0.993
No,BMO S&P 500 INDEX ETF-USD,Toronto,ZSP/U CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,8935.66,0.09,1.611,-0.018,-0.018,18.678,33.551,0.4,0.543,0.988,1
No,BMO S&P 500 INDEX ETF,Toronto,ZSP CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,8935.66,0.09,1.611,0.007,0.017,18.091,39.57,0.672,0.739,0.977,0.966
No,BMO LADDERED PREFERRED SHARE,Toronto,ZPR CN Equity,BMO ETFs/Canada,Preferred,Canada,Fixed Income,N.A.,1044.588,0.5,,0.247,0.1,0.064,13.269,-0.983,0.049,0.881,0.909
No,ISHARES CORE S&P US TOTAL MA,Toronto,XUU/U CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,1666.231,0.07,1.626,0.055,0.098,17.021,34.81,0.296,0.516,0.955,0.969
Yes,HORIZONS ACTIVE PREFERRED SH,Toronto,HPR CN Equity,Horizons ETFs Management Canada Inc,Preferred,Canada,Fixed Income,N.A.,676.96,0.64,,0.222,0.175,2.318,13.684,-0.752,0.05,0.991,1.057
No,BMO LONG CORPORATE BOND INDX,Toronto,ZLC CN Equity,BMO ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,207.775,0.33,,-0.015,-0.01,5.711,-15.949,-0.295,-0.765,0.96,1.034
No,ISHARES CORE CANADIAN SHORT,Toronto,XSB CN Equity,iShares ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,1610.221,0.09,,-0.013,-0.007,3.479,-2.442,-1.107,-1.389,0.993,1.024
No,HORIZONS GOLD PRODUCER EQUIT,Toronto,GLCC CN Equity,Horizons ETFs Management Canada Inc,Materials,North American Region,Equity,N.A.,192.774,0.81,2.318,-0.099,-0.113,30.179,-17.113,0.586,-0.175,0.88,0.885
Yes,BROMPTON FLAHERTY & CRUMI ET,Toronto,BPRF/U CN Equity,Brompton Funds Ltd,Preferred,Global,Fixed Income,N.A.,109.885,0.96,,-0.061,-0.046,2.056,-5.154,-0.415,-0.505,0.653,0.679
No,BMO EQUAL WEIGHT BANKS INDEX,Toronto,ZEB CN Equity,BMO ETFs/Canada,Financial,Canada,Equity,N.A.,2704.333,0.28,5.513,-0.038,-0.031,-4.439,38.034,-0.726,0.539,0.994,0.992
No,ISHARES CORE BALANCED ETF PO,Toronto,XBAL CN Equity,iShares ETFs/Canada,Moderate Allocation,Global,Mixed Allocation,N.A.,755.524,0.2,1.581,,,10.011,12.269,0.095,0.138,,
No,CI WISDOMTREE JAPAN EQUITY I,Toronto,JAPN CN Equity,CI Investments Inc/Canada,Japan,Japan,Equity,N.A.,587.258,0.51,3.144,-0.095,-0.098,48.142,95.901,2.447,1.588,1.165,0.982
Yes,HORIZONS BALANCED ASSET ALLO,Toronto,HBAL CN Equity,Horizons ETFs Management Canada Inc,Global,Global,Equity,N.A.,100.509,0.15,0.392,,,13.158,12.697,0.284,0.17,,
No,HORIZONS CANADIAN OIL AND GA,Toronto,ENCC CN Equity,Horizons ETFs Management Canada Inc,Energy,Canada,Equity,N.A.,139.792,0.84,5.325,0.021,0.096,4.186,282.604,0.021,1.999,0.675,0.863
Yes,CI GLOBAL FINANCIAL SECTOR E,Toronto,FSF CN Equity,CI Investments Inc/Canada,Foreign Growth,Global,Equity,N.A.,305.494,0.85,3.068,,,6.614,44.765,-0.141,0.632,,
No,ISHARES S&P/TSX CAPPED REIT,Toronto,XRE CN Equity,iShares ETFs/Canada,Real Estate,Canada,Equity,N.A.,651.046,0.61,5.609,0.674,0.421,1.283,18.087,-0.651,0.129,0.648,0.837
Yes,CI ENHANCED GOV BOND-U,Toronto,FGO/U CN Equity,CI Investments Inc/Canada,Government,Global,Fixed Income,N.A.,583.433,,,,,0.956,-10.449,-0.929,-1.319,,
Yes,CI ENHANCED GOVERNMENT BOND,Toronto,FGO CN Equity,CI Investments Inc/Canada,Government,Global,Fixed Income,N.A.,583.433,,,,,0.858,-11.067,-1.092,-1.342,,
No,VANGUARD FTSE GLOBAL ALL CAP,Toronto,VXC CN Equity,Vanguard ETFs/Canada,Global,Global,Equity,N.A.,1099.852,0.22,2.162,0.018,-0.002,17.126,26.041,0.646,0.471,0.985,0.989
Yes,HARVEST HEALTHCARE LEADERS I,Toronto,HHL CN Equity,Harvest Portfolios Group Inc/Canada,Health Care,North American Region,Equity,N.A.,981.774,0.99,1.855,-0.052,0.2,4.163,31.897,-0.488,0.615,1.057,1.034
Yes,ISHARES CANADIAN FINANCIAL M,Toronto,FIE CN Equity,iShares ETFs/Canada,Moderate Allocation,Canada,Mixed Allocation,N.A.,649.659,0.82,3.308,,,3.432,25.753,-0.451,0.38,,
Yes,NBI UNCONSTRAINED FIXED INC,Toronto,NUBF CN Equity,Natcan Trust Co,Aggregate Bond,Global,Fixed Income,N.A.,1750.018,,2.36,,,3.738,-3.354,-0.538,-0.856,,
Yes,BMO INTERNATIONAL DIVID EQ,Toronto,ZDI CN Equity,BMO ETFs/Canada,Foreign Blend,International,Equity,N.A.,300.957,0.44,4.971,,,27.018,43.614,1.35,0.83,,
No,BMO MSCI USA HIGH QUAL INDX,Toronto,ZUQ CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,401.021,0.34,1.379,0.17,0.018,31.28,39.114,1.654,0.674,0.903,0.974
No,ISHARES ESG AWARE MSCI USA I,Toronto,XSUS CN Equity,iShares ETFs/Canada,US,United States,Equity,ESG,273.35,0.22,1.62,0.107,0.057,16.863,33.628,0.558,0.622,0.902,0.956
No,BMO MSCI ALL COUNTRY WORLD,Toronto,ZGQ CN Equity,BMO ETFs/Canada,Global,Global,Equity,N.A.,269.509,0.5,1.675,0.179,0.008,29.845,29.115,1.525,0.506,0.879,0.989
No,ISHARES ESG AWARE MSCI CANAD,Toronto,XESG CN Equity,iShares ETFs/Canada,Broad Market,Canada,Equity,ESG,241.132,0.16,3.424,0.018,0.002,5.864,33.66,-0.286,0.557,0.985,1.004
No,BMO SHORT PROVINCIAL BOND IN,Toronto,ZPS CN Equity,BMO ETFs/Canada,Government,Canada,Fixed Income,N.A.,239.359,0.28,,-0.021,-0.03,3.063,-3.365,-1.186,-1.456,1.031,1.011
No,BMO SHORT FEDERAL BOND INDEX,Toronto,ZFS CN Equity,BMO ETFs/Canada,Government,Canada,Fixed Income,N.A.,698.683,0.22,,-0.01,-0.015,2.63,-3.371,-1.534,-1.592,0.934,1.023
Yes,HORIZONS US LARGE CAP EQUITY,Toronto,USCC/U CN Equity,Horizons ETFs Management Canada Inc,US,United States,Equity,N.A.,142.12,0.84,1.585,0.106,0.201,15.648,38.02,0.339,0.575,0.649,0.716
No,HAMILTON ENHANCED CANADIAN B,Toronto,HCAL CN Equity,Hamilton Capital Partners ETFs/Canada,Financial,Canada,Equity,N.A.,291.101,0.65,5.207,-0.201,-0.122,-8.395,36.674,-0.714,0.439,1.23,1.243
No,MACKENZIE US LARGE CAP EQ US,Toronto,QUU/U CN Equity,Mackenzie Investments ETFs/Canada,US,United States,Equity,N.A.,1759.38,,1.576,0.523,0.146,13.402,32.768,0.83,0.546,0.679,0.885
No,RBC TARGET 2026 CORPORATE BO,Toronto,RQO CN Equity,RBC Global Asset Management ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,385.303,0.28,,,,5.304,-5.368,-0.297,-1.13,,
No,CI MORNINGSTAR INT VAL INDEX,Toronto,VXM CN Equity,CI Investments Inc/Canada,International,International,Equity,N.A.,205.121,0.6,4.838,0.515,0.605,28.602,65.313,1.757,1.226,0.692,0.892
No,CI MORNINGSTAR INT VAL IDX-B,Toronto,VXM/B CN Equity,CI Investments Inc/Canada,International,International,Equity,N.A.,205.121,0.6,4.838,-0.158,-0.055,30.804,39.636,1.444,0.686,0.977,0.984
No,RBC TARGET 2027 CORPORATE BO,Toronto,RQP CN Equity,RBC Global Asset Management ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,240.358,0.28,,,,5.427,-6.13,-0.376,-1.015,,
No,ISHARES ESG AWARE MSCI EMERG,Toronto,XSEM CN Equity,iShares ETFs/Canada,Emerging Markets,Global,Equity,"Socially Responsible,Environmentally Friendly,ESG",1913.634,0.31,2.144,-0.082,-0.046,13.084,-8.135,0.458,-0.331,1.038,1.001
Yes,VANGUARD RETIREMENT INCOME,Toronto,VRIF CN Equity,Vanguard ETFs/Canada,Dynamic Allocation,Global,Mixed Allocation,N.A.,212.632,0.32,0.827,,,7.121,4.781,-0.09,-0.121,,
